Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id,height,mouser part number,mouser price/stock,manufacturer_name,manufacturer_part_number
1,Unpolarized capacitor,C,C3,15pF,C_0805_2012Metric,1,~,5c70984712875079b91f8b32,,,,,
2,Unpolarized capacitor,C,C4,15pF,C_0805_2012Metric,1,~,5c70984712875079b91f8b32,,,,,
3,Unpolarized capacitor,C,C10,100nF,C_0805_2012Metric,1,~,5c70984712875079b91f8b4c,,,,,
4,Unpolarized capacitor,C,C11,100nF,C_0805_2012Metric,1,~,5c70984712875079b91f8b4c,,,,,
5,Unpolarized capacitor,C,C12,100nF,C_0805_2012Metric,1,~,5c70984712875079b91f8b4c,,,,,
6,Unpolarized capacitor,C,C9,100nF,C_0805_2012Metric,1,~,6508260b462c6d9e720541f1,,,,,
7,Unpolarized capacitor,C,C2,4u7,C_0805_2012Metric,1,~,5e3ff8fc1287502a33bad7a3,,,,,
8,Unpolarized capacitor,C,C1,10uF,C_0805_2012Metric,1,~,5c70984712875079b91f8b53,,,,,
9,"Unpolarized capacitor, small symbol",C_Small,C15,10u,C_0805_2012Metric,1,~,5c70984712875079b91f8b53,,,,,
10,"Unpolarized capacitor, small symbol",C_Small,C7,10u,C_0805_2012Metric,1,~,5c70984712875079b91f8b53,,,,,
11,"Polarized capacitor, small symbol",C_Polarized_Small,C8,10uF,CP_EIA-3216-18_Kemet-A,1,https://eu.mouser.com/datasheet/2/40/TAJ-3165264.pdf,65089dd0462c6d9e720542b3,,,,,
12,"Unpolarized capacitor, small symbol",C_Small,C13,22u,C_0805_2012Metric,1,~,650b58f1462c6d9e7205463b,,,,,
13,"Unpolarized capacitor, small symbol",C_Small,C5,22u,C_0805_2012Metric,1,~,650b58f1462c6d9e7205463b,,,,,
14,"Unpolarized capacitor, small symbol",C_Small,C14,47u,C_0805_2012Metric,1,~,5c70984812875079b91f8bbf,,,,,
15,"Unpolarized capacitor, small symbol",C_Small,C6,47u,C_0805_2012Metric,1,~,5c70984812875079b91f8bbf,,,,,
16,Light emitting diode,LED,D3,BLUE,LED_1206_3216Metric,1,~,5c70984512875079b91f8898,,,,,
17,,D_ZENER,D1,BZX585-B5V6.115,D_SOD-523,1,,60879d38128750769ee58e48,,,,,
18,,D_ZENER,D2,BZX585-B5V6.115,D_SOD-523,1,https://www.tme.eu/Document/7f59fc987b8fce7e4ab18399d6e66bd1/BZX585-DTE.pdf,60879d38128750769ee58e48,,,,,
19,Light emitting diode,LED,D6,GREEN,LED_1206_3216Metric,1,~,5c70984412875079b91f8895,,,,,
20,Light emitting diode,LED,D4,RED,LED_1206_3216Metric,1,~,5c70984412875079b91f8896,,,,,
21,Light emitting diode,LED,D5,RED,LED_1206_3216Metric,1,~,5c70984412875079b91f8896,,,,,
22,Light emitting diode,LED,D7,RED,LED_1206_3216Metric,1,~,5c70984412875079b91f8896,,,,,
23,2x15 2.54 mm pitch header,HEADER_2x15,J5,HEADER_2x15,PinSocket_2x15_P2.54mm_Vertical,1,,68226dbfee7fc534862c67d1,,,,,
24,,SM04B-GHS-TB,J4,SM04B-GHS-TB,JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,1,,5c86273d1287500b4e0280be,,,,,
